time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-09-13 00:00:00+00:00,,,31,1
2022-09-14 00:00:00+00:00,,,1,1
2022-09-15 00:00:00+00:00,1.0,1.0,43,4
2022-09-16 00:00:00+00:00,,,7,4
2022-09-17 00:00:00+00:00,,,10,3
2022-09-18 00:00:00+00:00,1.0,1.0,1,1
2022-09-19 00:00:00+00:00,,,12,7
2022-09-20 00:00:00+00:00,1.0,1.0,11,2
2022-09-21 00:00:00+00:00,,,3,3
2022-09-22 00:00:00+00:00,3.0,2.0,6,1
2022-09-23 00:00:00+00:00,,,65,3
2022-09-25 00:00:00+00:00,,,1,1
2022-09-26 00:00:00+00:00,,,22,4
